Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
1471,120,RH,26,5858,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,1051,BLQ,0,354,1405,GasA,Ex,Y,SBrkr,1337,0,0,1337,1,0,2,0,2,1,Gd,5,Typ,1,Fa,Attchd,1999,Fin,2,511,TA,TA,Y,203,68,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal
1472,160,RM,21,1680,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504,TA,TA,CBlock,TA,TA,No,Rec,156,Unf,0,327,483,GasA,TA,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,TA,5,Typ,0,NA,Detchd,1971,Unf,1,264,TA,TA,Y,275,0,0,0,0,0,NA,NA,NA,0,2,2010,COD,Normal
1473,160,RM,21,1680,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492,TA,TA,CBlock,TA,TA,No,Rec,300,Unf,0,225,525,GasA,TA,Y,SBrkr,525,567,0,1092,0,0,1,1,3,1,TA,6,Typ,0,NA,Detchd,1997,Unf,1,320,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,3,2010,WD,Normal
1474,160,RL,24,2280,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0,TA,TA,CBlock,TA,TA,No,ALQ,514,Unf,0,341,855,GasA,TA,Y,SBrkr,855,601,0,1456,0,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,1975,Unf,2,440,TA,TA,Y,173,0,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal
1475,120,RL,24,2280,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0,TA,TA,CBlock,Gd,TA,No,Unf,0,Unf,0,836,836,GasA,Ex,Y,SBrkr,836,0,0,836,0,0,1,0,2,1,TA,4,Typ,0,NA,Attchd,1975,Unf,1,308,TA,TA,Y,0,30,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal
1476,60,RL,102,12858,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162,Ex,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1590,1590,GasA,Ex,Y,SBrkr,1627,707,0,2334,0,0,2,1,3,1,Ex,10,Typ,1,Gd,Attchd,2009,Fin,3,751,TA,TA,Y,144,133,0,0,0,0,NA,NA,NA,0,1,2010,New,Partial
1477,20,RL,94,12883,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1544,1544,GasA,Ex,Y,SBrkr,1544,0,0,1544,0,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2009,RFn,3,868,TA,TA,Y,0,35,0,0,0,0,NA,NA,NA,0,6,2010,New,Partial
1478,20,RL,90,11520,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615,Gd,TA,PConc,Ex,TA,No,GLQ,110,Unf,0,1588,1698,GasA,Ex,Y,SBrkr,1698,0,0,1698,0,0,2,0,3,1,Ex,7,Typ,1,Gd,Attchd,2005,Fin,3,730,TA,TA,Y,192,74,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal
1479,20,RL,79,14122,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240,Gd,TA,PConc,Ex,TA,No,GLQ,28,Unf,0,1794,1822,GasA,Ex,Y,SBrkr,1822,0,0,1822,0,0,2,0,3,1,Ex,8,Typ,1,Gd,Attchd,2005,RFn,3,678,TA,TA,Y,0,119,0,0,0,0,NA,NA,NA,0,2,2010,WD,Normal
1480,20,RL,110,14300,Pave,NA,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095,Ex,TA,PConc,Ex,TA,Gd,GLQ,1373,Unf,0,1473,2846,GasA,Ex,Y,SBrkr,2696,0,0,2696,1,0,2,1,3,1,Ex,10,Typ,2,Gd,Attchd,2003,Fin,3,958,TA,TA,Y,220,150,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal
